barcode-EAN	 article	descr
4010355843937	Dontodent - Fresh White Zahnpflegekaugummis	Zuckerfreie Kaugummi-Dragées mit Süßungsmitteln und Aroma glutenfrei laktosefrei 
4004880048400	Bad Dürrheimer  Naturell Mineralwasser	Mineralwasser glutenfrei laktosefrei
4014519020776	Lamy cartouches  bleues	Lamy 2€ - 5 Cartouches bleues - Deutschland
4016998503245	TrekStor Speichermedium CS alu 8 GB	mit Schreibschutzschalter
4003273670808	Brunnen Schüler-Tagebuch Young Date daily A6 1 Tag/Seite Broschureinba	 - Brunnen 107296916
20062293	Weihnachtsmann Schokolade	Hohlkörper aus Alpenmilchschokolade 
42103684	Müller Joghurt mit der Ecke Knusper Original, cremiger Joghurt	Aromatisierter Joghurt mit 9,3% Knusper-Müsli-Mischung, 3,8% Fett im Milchanteil 
8711200581641	Langnese Max Dino Egg (1,61 EUR/100 ml)	 - Langnese
4014400400007	Storck - Toffifee 15 Stück	Haselnuss (10%) in Caramel (41%) mit Nougatcreme (37%) und Schokolade (12%). glutenfrei 
4008100120587	Hengstenberg aceto balsamico di modena	Balsamico essig glutenfrei laktosefrei 
4018077711770	Naturals mit getrockneter Tomate	Kartoffelchips in Schale geröstet mit Tomaten-Würzung glutenfrei 
8430631216549	Clementinen, 1kg	-
90370960	Coca Cola	Koffeinhaltige Limonade glutenfrei laktosefrei 
42176817	Nivea Men - Shampoo Strong Power	Shampoo für kräftiges und gesundes Haar - 50 ml - Beiersdorf - Deutschland
42218746	Nivea For Men - Pure Impact Pflegedusche Mini	Pflegedusche Probiergröße - 50 ml - Nivea
8430631154438	SanLucar - Himbeeren Naschbeeren	Frische Himbeeren glutenfrei laktosefrei 
4002861774010	Tress Großmutters Küche Original Schwäbische Spätzle, 500 g	 - Tress Großmutters Küche
4000417288004	Ritter Sport Winterkreation Orangenmarzipan	Gefüllte Vollmilschokolade glutenfrei laktosefrei 
7622210288738	Tassimo Milka Schokolade Kakaodiscs	Kakaogetränkezubereitung mit Magermilchpulver und Zucker. glutenfrei 
4025500195151	Müller Froop Best of Pflaume-Zimt, 150 g	glutenfrei 
4028452231007	Kuhbonbon Erdbeer Lakritz	 - Kuhbonbon
4012824529373	Yogi Tea - Ingwer Zitronen Chai	Ayurvedische Kräuter-, Gewürz- und Früchteteemischung glutenfrei laktosefrei 
5449000091659	Coca Cola life 1L MW	Erfrischungsgetränk mit Stevia glutenfrei laktosefrei 
5449000000897	Coca-Cola Cherry	Koffeinhaltige Limonade mit Kirschgeschmack glutenfrei laktosefrei 
